question_text,option_a,option_b,option_c,option_d,correct_option,category,difficulty,language,explanation,image_url,question_family_id
"What planet is known as the Red Planet?","Mercury","Venus","Mars","Jupiter","C","science","EASY","en","Mars appears red due to iron oxide on its surface.","",""
"Who invented the telephone?","Thomas Edison","Alexander Graham Bell","Nikola Tesla","Guglielmo Marconi","B","technology","EASY","en","Alexander Graham Bell patented the telephone in 1876.","",""
"What is the largest continent?","Africa","North America","Asia","Europe","C","geography","EASY","en","Asia covers about 44 million km².","",""
"In what year did the Titanic sink?","1910","1912","1914","1916","B","history","MEDIUM","en","The Titanic sank on April 15, 1912.","",""
"How many bones does an adult human body have?","196","206","216","226","B","science","MEDIUM","en","Adults have 206 bones — babies start with around 270.","",""
"What is the chemical symbol for gold?","Go","Gd","Au","Ag","C","science","HARD","en","Gold's symbol Au comes from the Latin word 'aurum'.","",""
"Who wrote Romeo and Juliet?","Charles Dickens","William Shakespeare","Jane Austen","Mark Twain","B","pop-culture","EASY","en","Shakespeare wrote Romeo and Juliet around 1594–1596.","",""
"What is the capital of Japan?","Beijing","Seoul","Bangkok","Tokyo","D","geography","EASY","en","Tokyo is the capital and most populous city of Japan.","",""
"What language was Python created in?","C","Java","Perl","C","C","technology","MEDIUM","en","Python was implemented in C by Guido van Rossum.","",""
"What is the speed of sound at sea level?","243 m/s","343 m/s","443 m/s","543 m/s","B","science","HARD","en","Sound travels at approximately 343 m/s at sea level.","",""
